respID,qID,altID,obsID,profileID,price,tripTime,waitTime,SharedRide,HumanPresent
2,7,1,15,68,5,25,7,Yes,No
2,7,2,15,86,5,25,5,No,No
2,7,3,15,16,3,30,7,Yes,Yes
2,7,4,15,83,5,20,5,No,No
2,7,5,15,79,3,30,9,Yes,No
2,8,1,16,87,7,25,5,No,No
2,8,2,16,45,7,30,7,No,Yes
2,8,3,16,55,3,20,5,Yes,No
2,8,4,16,37,3,20,7,No,Yes
2,8,5,16,43,3,30,7,No,Yes
3,1,1,17,107,5,30,9,No,No
3,1,2,17,18,7,30,7,Yes,Yes
3,1,3,17,39,7,20,7,No,Yes
3,1,4,17,13,3,25,7,Yes,Yes
3,1,5,17,29,5,20,5,No,Yes
3,2,1,18,102,7,20,9,No,No
3,2,2,18,87,7,25,5,No,No
3,2,3,18,4,3,25,5,Yes,Yes
3,2,4,18,41,5,25,7,No,Yes
3,2,5,18,80,5,30,9,Yes,No
3,3,1,19,7,3,30,5,Yes,Yes
3,3,2,19,26,5,30,9,Yes,Yes
3,3,3,19,33,7,25,5,No,Yes
3,3,4,19,56,5,20,5,Yes,No
3,3,5,19,100,3,20,9,No,No
3,4,1,20,82,3,20,5,No,No
3,4,2,20,63,7,30,5,Yes,No
3,4,3,20,44,5,30,7,No,Yes
3,4,4,20,1,3,20,5,Yes,Yes
3,4,5,20,91,3,20,7,No,No
3,5,1,21,51,7,25,9,No,Yes
3,5,2,21,53,5,30,9,No,Yes
3,5,3,21,108,7,30,9,No,No
3,5,4,21,9,7,30,5,Yes,Yes
3,5,5,21,34,3,30,5,No,Yes
3,6,1,22,57,7,20,5,Yes,No
3,6,2,22,71,5,30,7,Yes,No
3,6,3,22,14,5,25,7,Yes,Yes
3,6,4,22,18,7,30,7,Yes,Yes
3,6,5,22,3,7,20,5,Yes,Yes
3,7,1,23,58,3,25,5,Yes,No
3,7,2,23,37,3,20,7,No,Yes
3,7,3,23,60,7,25,5,Yes,No
3,7,4,23,108,7,30,9,No,No
3,7,5,23,53,5,30,9,No,Yes
3,8,1,24,95,5,25,7,No,No
3,8,2,24,71,5,30,7,Yes,No
3,8,3,24,12,7,20,7,Yes,Yes
3,8,4,24,56,5,20,5,Yes,No
3,8,5,24,53,5,30,9,No,Yes
4,1,1,25,30,7,20,5,No,Yes
4,1,2,25,53,5,30,9,No,Yes
4,1,3,25,7,3,30,5,Yes,Yes
4,1,4,25,42,7,25,7,No,Yes
4,1,5,25,5,5,25,5,Yes,Yes
4,2,1,26,66,7,20,7,Yes,No
4,2,2,26,56,5,20,5,Yes,No
4,2,3,26,19,3,20,9,Yes,Yes
4,2,4,26,36,7,30,5,No,Yes
4,2,5,26,13,3,25,7,Yes,Yes
4,3,1,27,105,7,25,9,No,No
4,3,2,27,17,5,30,7,Yes,Yes
4,3,3,27,79,3,30,9,Yes,No
4,3,4,27,6,7,25,5,Yes,Yes
4,3,5,27,18,7,30,7,Yes,Yes
4,4,1,28,57,7,20,5,Yes,No
4,4,2,28,4,3,25,5,Yes,Yes
4,4,3,28,16,3,30,7,Yes,Yes
4,4,4,28,39,7,20,7,No,Yes
4,4,5,28,52,3,30,9,No,Yes
4,5,1,29,65,5,20,7,Yes,No
4,5,2,29,66,7,20,7,Yes,No
4,5,3,29,80,5,30,9,Yes,No
4,5,4,29,26,5,30,9,Yes,Yes
4,5,5,29,18,7,30,7,Yes,Yes
4,6,1,30,53,5,30,9,No,Yes
4,6,2,30,32,5,25,5,No,Yes
4,6,3,30,64,3,20,7,Yes,No
4,6,4,30,80,5,30,9,Yes,No
4,6,5,30,65,5,20,7,Yes,No
4,7,1,31,66,7,20,7,Yes,No
4,7,2,31,16,3,30,7,Yes,Yes
4,7,3,31,87,7,25,5,No,No
4,7,4,31,80,5,30,9,Yes,No
4,7,5,31,64,3,20,7,Yes,No
4,8,1,32,9,7,30,5,Yes,Yes
4,8,2,32,60,7,25,5,Yes,No
4,8,3,32,29,5,20,5,No,Yes
4,8,4,32,31,3,25,5,No,Yes
4,8,5,32,75,7,20,9,Yes,No
5,1,1,33,65,5,20,7,Yes,No
5,1,2,33,8,5,30,5,Yes,Yes
5,1,3,33,90,7,30,5,No,No
5,1,4,33,76,3,25,9,Yes,No
5,1,5,33,33,7,25,5,No,Yes
5,2,1,34,39,7,20,7,No,Yes
5,2,2,34,79,3,30,9,Yes,No
5,2,3,34,55,3,20,5,Yes,No
5,2,4,34,46,3,20,9,No,Yes
5,2,5,34,97,3,30,7,No,No
5,3,1,35,92,5,20,7,No,No
5,3,2,35,63,7,30,5,Yes,No
5,3,3,35,71,5,30,7,Yes,No
5,3,4,35,22,3,25,9,Yes,Yes
5,3,5,35,41,5,25,7,No,Yes
5,4,1,36,56,5,20,5,Yes,No
5,4,2,36,100,3,20,9,No,No
5,4,3,36,10,3,20,7,Yes,Yes
5,4,4,36,88,3,30,5,No,No
5,4,5,36,65,5,20,7,Yes,No
5,5,1,37,66,7,20,7,Yes,No
5,5,2,37,30,7,20,5,No,Yes
5,5,3,37,78,7,25,9,Yes,No
5,5,4,37,29,5,20,5,No,Yes
5,5,5,37,102,7,20,9,No,No
5,6,1,38,80,5,30,9,Yes,No
5,6,2,38,44,5,30,7,No,Yes
5,6,3,38,96,7,25,7,No,No
5,6,4,38,89,5,30,5,No,No
5,6,5,38,75,7,20,9,Yes,No
5,7,1,39,65,5,20,7,Yes,No
5,7,2,39,76,3,25,9,Yes,No
5,7,3,39,68,5,25,7,Yes,No
5,7,4,39,87,7,25,5,No,No
5,7,5,39,21,7,20,9,Yes,Yes
5,8,1,40,63,7,30,5,Yes,No
5,8,2,40,78,7,25,9,Yes,No
5,8,3,40,30,7,20,5,No,Yes
5,8,4,40,69,7,25,7,Yes,No
5,8,5,40,8,5,30,5,Yes,Yes
6,1,1,41,58,3,25,5,Yes,No
6,1,2,41,99,7,30,7,No,No
6,1,3,41,64,3,20,7,Yes,No
6,1,4,41,61,3,30,5,Yes,No
6,1,5,41,83,5,20,5,No,No
6,2,1,42,83,5,20,5,No,No
6,2,2,42,56,5,20,5,Yes,No
6,2,3,42,46,3,20,9,No,Yes
6,2,4,42,107,5,30,9,No,No
6,2,5,42,71,5,30,7,Yes,No
6,3,1,43,62,5,30,5,Yes,No
6,3,2,43,55,3,20,5,Yes,No
6,3,3,43,93,7,20,7,No,No
6,3,4,43,91,3,20,7,No,No
6,3,5,43,10,3,20,7,Yes,Yes
6,4,1,44,26,5,30,9,Yes,Yes
6,4,2,44,68,5,25,7,Yes,No
6,4,3,44,61,3,30,5,Yes,No
6,4,4,44,27,7,30,9,Yes,Yes
6,4,5,44,94,3,25,7,No,No
6,5,1,45,63,7,30,5,Yes,No
6,5,2,45,106,3,30,9,No,No
6,5,3,45,94,3,25,7,No,No
6,5,4,45,47,5,20,9,No,Yes
6,5,5,45,51,7,25,9,No,Yes
6,6,1,46,41,5,25,7,No,Yes
6,6,2,46,68,5,25,7,Yes,No
6,6,3,46,16,3,30,7,Yes,Yes
6,6,4,46,82,3,20,5,No,No
6,6,5,46,7,3,30,5,Yes,Yes
6,7,1,47,41,5,25,7,No,Yes
6,7,2,47,91,3,20,7,No,No
6,7,3,47,42,7,25,7,No,Yes
6,7,4,47,74,5,20,9,Yes,No
6,7,5,47,22,3,25,9,Yes,Yes
6,8,1,48,101,5,20,9,No,No
6,8,2,48,52,3,30,9,No,Yes
6,8,3,48,7,3,30,5,Yes,Yes
6,8,4,48,39,7,20,7,No,Yes
6,8,5,48,102,7,20,9,No,No
7,1,1,49,15,7,25,7,Yes,Yes
7,1,2,49,51,7,25,9,No,Yes
7,1,3,49,25,3,30,9,Yes,Yes
7,1,4,49,80,5,30,9,Yes,No
7,1,5,49,27,7,30,9,Yes,Yes
7,2,1,50,53,5,30,9,No,Yes
7,2,2,50,7,3,30,5,Yes,Yes
7,2,3,50,95,5,25,7,No,No
7,2,4,50,92,5,20,7,No,No
7,2,5,50,33,7,25,5,No,Yes
7,3,1,51,27,7,30,9,Yes,Yes
7,3,2,51,24,7,25,9,Yes,Yes
7,3,3,51,52,3,30,9,No,Yes
7,3,4,51,60,7,25,5,Yes,No
7,3,5,51,37,3,20,7,No,Yes
7,4,1,52,12,7,20,7,Yes,Yes
7,4,2,52,87,7,25,5,No,No
7,4,3,52,2,5,20,5,Yes,Yes
7,4,4,52,26,5,30,9,Yes,Yes
7,4,5,52,19,3,20,9,Yes,Yes
7,5,1,53,19,3,20,9,Yes,Yes
7,5,2,53,101,5,20,9,No,No
7,5,3,53,76,3,25,9,Yes,No
7,5,4,53,7,3,30,5,Yes,Yes
7,5,5,53,13,3,25,7,Yes,Yes
7,6,1,54,38,5,20,7,No,Yes
7,6,2,54,71,5,30,7,Yes,No
7,6,3,54,13,3,25,7,Yes,Yes
7,6,4,54,101,5,20,9,No,No
7,6,5,54,28,3,20,5,No,Yes
7,7,1,55,10,3,20,7,Yes,Yes
7,7,2,55,63,7,30,5,Yes,No
7,7,3,55,99,7,30,7,No,No
7,7,4,55,11,5,20,7,Yes,Yes
7,7,5,55,75,7,20,9,Yes,No
7,8,1,56,12,7,20,7,Yes,Yes
7,8,2,56,81,7,30,9,Yes,No
7,8,3,56,30,7,20,5,No,Yes
7,8,4,56,78,7,25,9,Yes,No
7,8,5,56,10,3,20,7,Yes,Yes
8,1,1,57,54,7,30,9,No,Yes
8,1,2,57,63,7,30,5,Yes,No
8,1,3,57,43,3,30,7,No,Yes
8,1,4,57,25,3,30,9,Yes,Yes
8,1,5,57,35,5,30,5,No,Yes
8,2,1,58,7,3,30,5,Yes,Yes
8,2,2,58,1,3,20,5,Yes,Yes
8,2,3,58,20,5,20,9,Yes,Yes
8,2,4,58,82,3,20,5,No,No
8,2,5,58,24,7,25,9,Yes,Yes
8,3,1,59,102,7,20,9,No,No
8,3,2,59,8,5,30,5,Yes,Yes
8,3,3,59,103,3,25,9,No,No
8,3,4,59,22,3,25,9,Yes,Yes
8,3,5,59,2,5,20,5,Yes,Yes
8,4,1,60,89,5,30,5,No,No
8,4,2,60,26,5,30,9,Yes,Yes
8,4,3,60,69,7,25,7,Yes,No
8,4,4,60,95,5,25,7,No,No
8,4,5,60,65,5,20,7,Yes,No
8,5,1,61,38,5,20,7,No,Yes
8,5,2,61,88,3,30,5,No,No
8,5,3,61,30,7,20,5,No,Yes
8,5,4,61,71,5,30,7,Yes,No
8,5,5,61,29,5,20,5,No,Yes
8,6,1,62,23,5,25,9,Yes,Yes
8,6,2,62,48,7,20,9,No,Yes
8,6,3,62,103,3,25,9,No,No
8,6,4,62,47,5,20,9,No,Yes
8,6,5,62,72,7,30,7,Yes,No
8,7,1,63,35,5,30,5,No,Yes
8,7,2,63,34,3,30,5,No,Yes
8,7,3,63,74,5,20,9,Yes,No
8,7,4,63,12,7,20,7,Yes,Yes
8,7,5,63,85,3,25,5,No,No
8,8,1,64,68,5,25,7,Yes,No
8,8,2,64,79,3,30,9,Yes,No
8,8,3,64,80,5,30,9,Yes,No
8,8,4,64,1,3,20,5,Yes,Yes
8,8,5,64,57,7,20,5,Yes,No
9,1,1,65,36,7,30,5,No,Yes
9,1,2,65,104,5,25,9,No,No
9,1,3,65,35,5,30,5,No,Yes
9,1,4,65,72,7,30,7,Yes,No
9,1,5,65,38,5,20,7,No,Yes
9,2,1,66,4,3,25,5,Yes,Yes
9,2,2,66,17,5,30,7,Yes,Yes
9,2,3,66,77,5,25,9,Yes,No
9,2,4,66,95,5,25,7,No,No
9,2,5,66,69,7,25,7,Yes,No
9,3,1,67,27,7,30,9,Yes,Yes
9,3,2,67,37,3,20,7,No,Yes
9,3,3,67,50,5,25,9,No,Yes
9,3,4,67,32,5,25,5,No,Yes
9,3,5,67,53,5,30,9,No,Yes
9,4,1,68,73,3,20,9,Yes,No
9,4,2,68,21,7,20,9,Yes,Yes
9,4,3,68,84,7,20,5,No,No
9,4,4,68,106,3,30,9,No,No
9,4,5,68,23,5,25,9,Yes,Yes
9,5,1,69,102,7,20,9,No,No
9,5,2,69,25,3,30,9,Yes,Yes
9,5,3,69,77,5,25,9,Yes,No
9,5,4,69,1,3,20,5,Yes,Yes
9,5,5,69,87,7,25,5,No,No
9,6,1,70,48,7,20,9,No,Yes
9,6,2,70,89,5,30,5,No,No
9,6,3,70,6,7,25,5,Yes,Yes
9,6,4,70,101,5,20,9,No,No
9,6,5,70,40,3,25,7,No,Yes
9,7,1,71,3,7,20,5,Yes,Yes
9,7,2,71,9,7,30,5,Yes,Yes
9,7,3,71,47,5,20,9,No,Yes
9,7,4,71,106,3,30,9,No,No
9,7,5,71,70,3,30,7,Yes,No
9,8,1,72,44,5,30,7,No,Yes
9,8,2,72,5,5,25,5,Yes,Yes
9,8,3,72,35,5,30,5,No,Yes
9,8,4,72,90,7,30,5,No,No
9,8,5,72,58,3,25,5,Yes,No
10,1,1,73,47,5,20,9,No,Yes
10,1,2,73,60,7,25,5,Yes,No
10,1,3,73,58,3,25,5,Yes,No
10,1,4,73,38,5,20,7,No,Yes
10,1,5,73,55,3,20,5,Yes,No
10,2,1,74,96,7,25,7,No,No
10,2,2,74,76,3,25,9,Yes,No
10,2,3,74,41,5,25,7,No,Yes
10,2,4,74,48,7,20,9,No,Yes
10,2,5,74,32,5,25,5,No,Yes
10,3,1,75,99,7,30,7,No,No
10,3,2,75,61,3,30,5,Yes,No
10,3,3,75,30,7,20,5,No,Yes
10,3,4,75,9,7,30,5,Yes,Yes
10,3,5,75,17,5,30,7,Yes,Yes
10,4,1,76,42,7,25,7,No,Yes
10,4,2,76,69,7,25,7,Yes,No
10,4,3,76,86,5,25,5,No,No
10,4,4,76,23,5,25,9,Yes,Yes
10,4,5,76,62,5,30,5,Yes,No
10,5,1,77,31,3,25,5,No,Yes
10,5,2,77,63,7,30,5,Yes,No
10,5,3,77,40,3,25,7,No,Yes
10,5,4,77,65,5,20,7,Yes,No
10,5,5,77,71,5,30,7,Yes,No
10,6,1,78,77,5,25,9,Yes,No
10,6,2,78,94,3,25,7,No,No
10,6,3,78,38,5,20,7,No,Yes
10,6,4,78,98,5,30,7,No,No
10,6,5,78,29,5,20,5,No,Yes
10,7,1,79,9,7,30,5,Yes,Yes
10,7,2,79,35,5,30,5,No,Yes
10,7,3,79,106,3,30,9,No,No
10,7,4,79,44,5,30,7,No,Yes
10,7,5,79,96,7,25,7,No,No
10,8,1,80,88,3,30,5,No,No
10,8,2,80,73,3,20,9,Yes,No
10,8,3,80,15,7,25,7,Yes,Yes
10,8,4,80,56,5,20,5,Yes,No
10,8,5,80,48,7,20,9,No,Yes
11,1,1,81,107,5,30,9,No,No
11,1,2,81,86,5,25,5,No,No
11,1,3,81,61,3,30,5,Yes,No
11,1,4,81,99,7,30,7,No,No
11,1,5,81,13,3,25,7,Yes,Yes
11,2,1,82,56,5,20,5,Yes,No
11,2,2,82,43,3,30,7,No,Yes
11,2,3,82,21,7,20,9,Yes,Yes
11,2,4,82,58,3,25,5,Yes,No
11,2,5,82,104,5,25,9,No,No
11,3,1,83,40,3,25,7,No,Yes
11,3,2,83,15,7,25,7,Yes,Yes
11,3,3,83,45,7,30,7,No,Yes
11,3,4,83,84,7,20,5,No,No
11,3,5,83,31,3,25,5,No,Yes
11,4,1,84,33,7,25,5,No,Yes
11,4,2,84,59,5,25,5,Yes,No
11,4,3,84,38,5,20,7,No,Yes
11,4,4,84,48,7,20,9,No,Yes
11,4,5,84,29,5,20,5,No,Yes
11,5,1,85,84,7,20,5,No,No
11,5,2,85,9,7,30,5,Yes,Yes
11,5,3,85,56,5,20,5,Yes,No
11,5,4,85,78,7,25,9,Yes,No
11,5,5,85,25,3,30,9,Yes,Yes
11,6,1,86,88,3,30,5,No,No
11,6,2,86,34,3,30,5,No,Yes
11,6,3,86,84,7,20,5,No,No
11,6,4,86,64,3,20,7,Yes,No
11,6,5,86,5,5,25,5,Yes,Yes
11,7,1,87,20,5,20,9,Yes,Yes
11,7,2,87,52,3,30,9,No,Yes
11,7,3,87,98,5,30,7,No,No
11,7,4,87,41,5,25,7,No,Yes
11,7,5,87,101,5,20,9,No,No
11,8,1,88,82,3,20,5,No,No
11,8,2,88,35,5,30,5,No,Yes
11,8,3,88,98,5,30,7,No,No
11,8,4,88,27,7,30,9,Yes,Yes
11,8,5,88,33,7,25,5,No,Yes
12,1,1,89,39,7,20,7,No,Yes
12,1,2,89,37,3,20,7,No,Yes
12,1,3,89,105,7,25,9,No,No
12,1,4,89,91,3,20,7,No,No
12,1,5,89,36,7,30,5,No,Yes
12,2,1,90,87,7,25,5,No,No
12,2,2,90,4,3,25,5,Yes,Yes
12,2,3,90,50,5,25,9,No,Yes
12,2,4,90,86,5,25,5,No,No
12,2,5,90,67,3,25,7,Yes,No
12,3,1,91,58,3,25,5,Yes,No
12,3,2,91,82,3,20,5,No,No
12,3,3,91,103,3,25,9,No,No
12,3,4,91,17,5,30,7,Yes,Yes
12,3,5,91,59,5,25,5,Yes,No
12,4,1,92,75,7,20,9,Yes,No
12,4,2,92,56,5,20,5,Yes,No
12,4,3,92,103,3,25,9,No,No
12,4,4,92,10,3,20,7,Yes,Yes
12,4,5,92,98,5,30,7,No,No
12,5,1,93,1,3,20,5,Yes,Yes
12,5,2,93,32,5,25,5,No,Yes
12,5,3,93,53,5,30,9,No,Yes
12,5,4,93,98,5,30,7,No,No
12,5,5,93,95,5,25,7,No,No
12,6,1,94,58,3,25,5,Yes,No
12,6,2,94,97,3,30,7,No,No
12,6,3,94,8,5,30,5,Yes,Yes
12,6,4,94,36,7,30,5,No,Yes
12,6,5,94,73,3,20,9,Yes,No
12,7,1,95,55,3,20,5,Yes,No
12,7,2,95,41,5,25,7,No,Yes
12,7,3,95,14,5,25,7,Yes,Yes
12,7,4,95,71,5,30,7,Yes,No
12,7,5,95,35,5,30,5,No,Yes
12,8,1,96,4,3,25,5,Yes,Yes
12,8,2,96,53,5,30,9,No,Yes
12,8,3,96,84,7,20,5,No,No
12,8,4,96,105,7,25,9,No,No
12,8,5,96,45,7,30,7,No,Yes
13,1,1,97,53,5,30,9,No,Yes
13,1,2,97,22,3,25,9,Yes,Yes
13,1,3,97,24,7,25,9,Yes,Yes
13,1,4,97,72,7,30,7,Yes,No
13,1,5,97,88,3,30,5,No,No
13,2,1,98,36,7,30,5,No,Yes
13,2,2,98,93,7,20,7,No,No
13,2,3,98,56,5,20,5,Yes,No
13,2,4,98,48,7,20,9,No,Yes
13,2,5,98,65,5,20,7,Yes,No
13,3,1,99,71,5,30,7,Yes,No
13,3,2,99,22,3,25,9,Yes,Yes
13,3,3,99,21,7,20,9,Yes,Yes
13,3,4,99,101,5,20,9,No,No
13,3,5,99,95,5,25,7,No,No
13,4,1,100,30,7,20,5,No,Yes
13,4,2,100,86,5,25,5,No,No
13,4,3,100,14,5,25,7,Yes,Yes
13,4,4,100,11,5,20,7,Yes,Yes
13,4,5,100,7,3,30,5,Yes,Yes
13,5,1,101,24,7,25,9,Yes,Yes
13,5,2,101,30,7,20,5,No,Yes
13,5,3,101,45,7,30,7,No,Yes
13,5,4,101,54,7,30,9,No,Yes
13,5,5,101,101,5,20,9,No,No
13,6,1,102,102,7,20,9,No,No
13,6,2,102,81,7,30,9,Yes,No
13,6,3,102,29,5,20,5,No,Yes
13,6,4,102,70,3,30,7,Yes,No
13,6,5,102,64,3,20,7,Yes,No
13,7,1,103,47,5,20,9,No,Yes
13,7,2,103,41,5,25,7,No,Yes
13,7,3,103,93,7,20,7,No,No
13,7,4,103,56,5,20,5,Yes,No
13,7,5,103,104,5,25,9,No,No
13,8,1,104,106,3,30,9,No,No
13,8,2,104,29,5,20,5,No,Yes
13,8,3,104,61,3,30,5,Yes,No
13,8,4,104,62,5,30,5,Yes,No
13,8,5,104,19,3,20,9,Yes,Yes
14,1,1,105,18,7,30,7,Yes,Yes
14,1,2,105,84,7,20,5,No,No
14,1,3,105,21,7,20,9,Yes,Yes
14,1,4,105,51,7,25,9,No,Yes
14,1,5,105,66,7,20,7,Yes,No
14,2,1,106,106,3,30,9,No,No
14,2,2,106,81,7,30,9,Yes,No
14,2,3,106,71,5,30,7,Yes,No
14,2,4,106,24,7,25,9,Yes,Yes
14,2,5,106,94,3,25,7,No,No
14,3,1,107,85,3,25,5,No,No
14,3,2,107,83,5,20,5,No,No
14,3,3,107,57,7,20,5,Yes,No
14,3,4,107,69,7,25,7,Yes,No
14,3,5,107,5,5,25,5,Yes,Yes
14,4,1,108,78,7,25,9,Yes,No
14,4,2,108,31,3,25,5,No,Yes
14,4,3,108,38,5,20,7,No,Yes
14,4,4,108,101,5,20,9,No,No
14,4,5,108,22,3,25,9,Yes,Yes
14,5,1,109,54,7,30,9,No,Yes
14,5,2,109,63,7,30,5,Yes,No
14,5,3,109,25,3,30,9,Yes,Yes
14,5,4,109,16,3,30,7,Yes,Yes
14,5,5,109,61,3,30,5,Yes,No
14,6,1,110,91,3,20,7,No,No
14,6,2,110,80,5,30,9,Yes,No
14,6,3,110,55,3,20,5,Yes,No
14,6,4,110,6,7,25,5,Yes,Yes
14,6,5,110,62,5,30,5,Yes,No
14,7,1,111,82,3,20,5,No,No
14,7,2,111,13,3,25,7,Yes,Yes
14,7,3,111,105,7,25,9,No,No
14,7,4,111,97,3,30,7,No,No
14,7,5,111,57,7,20,5,Yes,No
14,8,1,112,15,7,25,7,Yes,Yes
14,8,2,112,94,3,25,7,No,No
14,8,3,112,92,5,20,7,No,No
14,8,4,112,30,7,20,5,No,Yes
14,8,5,112,1,3,20,5,Yes,Yes
15,1,1,113,77,5,25,9,Yes,No
15,1,2,113,35,5,30,5,No,Yes
15,1,3,113,70,3,30,7,Yes,No
15,1,4,113,88,3,30,5,No,No
15,1,5,113,81,7,30,9,Yes,No
15,2,1,114,69,7,25,7,Yes,No
15,2,2,114,92,5,20,7,No,No
15,2,3,114,89,5,30,5,No,No
15,2,4,114,29,5,20,5,No,Yes
15,2,5,114,36,7,30,5,No,Yes
15,3,1,115,100,3,20,9,No,No
15,3,2,115,41,5,25,7,No,Yes
15,3,3,115,107,5,30,9,No,No
15,3,4,115,83,5,20,5,No,No
15,3,5,115,12,7,20,7,Yes,Yes
15,4,1,116,103,3,25,9,No,No
15,4,2,116,107,5,30,9,No,No
15,4,3,116,97,3,30,7,No,No
15,4,4,116,108,7,30,9,No,No
15,4,5,116,13,3,25,7,Yes,Yes
15,5,1,117,98,5,30,7,No,No
15,5,2,117,49,3,25,9,No,Yes
15,5,3,117,6,7,25,5,Yes,Yes
15,5,4,117,75,7,20,9,Yes,No
15,5,5,117,53,5,30,9,No,Yes
15,6,1,118,9,7,30,5,Yes,Yes
15,6,2,118,60,7,25,5,Yes,No
15,6,3,118,65,5,20,7,Yes,No
15,6,4,118,55,3,20,5,Yes,No
15,6,5,118,35,5,30,5,No,Yes
15,7,1,119,21,7,20,9,Yes,Yes
15,7,2,119,67,3,25,7,Yes,No
15,7,3,119,37,3,20,7,No,Yes
15,7,4,119,101,5,20,9,No,No
15,7,5,119,7,3,30,5,Yes,Yes
15,8,1,120,2,5,20,5,Yes,Yes
15,8,2,120,84,7,20,5,No,No
15,8,3,120,97,3,30,7,No,No
15,8,4,120,50,5,25,9,No,Yes
15,8,5,120,62,5,30,5,Yes,No
16,1,1,121,38,5,20,7,No,Yes
16,1,2,121,107,5,30,9,No,No
16,1,3,121,37,3,20,7,No,Yes
16,1,4,121,89,5,30,5,No,No
16,1,5,121,43,3,30,7,No,Yes
16,2,1,122,51,7,25,9,No,Yes
16,2,2,122,74,5,20,9,Yes,No
16,2,3,122,8,5,30,5,Yes,Yes
16,2,4,122,53,5,30,9,No,Yes
16,2,5,122,17,5,30,7,Yes,Yes
16,3,1,123,36,7,30,5,No,Yes
16,3,2,123,87,7,25,5,No,No
16,3,3,123,6,7,25,5,Yes,Yes
16,3,4,123,34,3,30,5,No,Yes
16,3,5,123,48,7,20,9,No,Yes
16,4,1,124,3,7,20,5,Yes,Yes
16,4,2,124,66,7,20,7,Yes,No
16,4,3,124,105,7,25,9,No,No
16,4,4,124,78,7,25,9,Yes,No
16,4,5,124,33,7,25,5,No,Yes
16,5,1,125,59,5,25,5,Yes,No
16,5,2,125,52,3,30,9,No,Yes
16,5,3,125,17,5,30,7,Yes,Yes
16,5,4,125,57,7,20,5,Yes,No
16,5,5,125,1,3,20,5,Yes,Yes
16,6,1,126,2,5,20,5,Yes,Yes
16,6,2,126,74,5,20,9,Yes,No
16,6,3,126,65,5,20,7,Yes,No
16,6,4,126,26,5,30,9,Yes,Yes
16,6,5,126,29,5,20,5,No,Yes
16,7,1,127,74,5,20,9,Yes,No
16,7,2,127,37,3,20,7,No,Yes
16,7,3,127,77,5,25,9,Yes,No
